id,rating,genre,director,writer,theater_date,runtime,rating_10_point,fresh
1830,NR,Documentary|Special Interest|Sports and Fitness,Judd Ehrlich,unknown,2008-10-29,95,6.8,1.0
1832,R,Drama,Danny Boyle,John Hodge,2017-03-17,118,6.7,1.0
1834,R,Drama|Science Fiction and Fantasy,Kurt Wimmer,Kurt Wimmer,2002-12-06,106,5.2,0.0
1835,R,Comedy|Drama,Paddy Breathnach,Conor McPherson,1998-06-12,105,7.1,1.0
1837,PG,Drama|Romance,Julian Jarrold,Sarah Williams|Kevin Hood,2007-08-03,120,6.1,1.0
1839,PG,Documentary,Lucy Walker,unknown,2017-05-26,111,6.6,1.0
1840,R,Drama|Romance,Bernardo Bertolucci,Bernardo Bertolucci|Susan Minot,1996-06-14,118,6.1,1.0
1841,R,Action and Adventure|Drama|Mystery and Suspense,James Mangold,James Mangold,1997-08-15,105,6.7,1.0
1843,PG-13,Art House and International|Comedy|Drama,John Schlesinger,Tom Ropelewski,2000-03-03,108,5.4,0.0
1844,R,Comedy|Drama,Trey Parker,Trey Parker|Matt Stone|Pam Brady,2004-10-11,97,6.7,1.0
1845,R,Drama|Mystery and Suspense,James Cox,Captain Mauzner|James Cox,2018-08-17,100,5.2,0.0
1847,NR,Classics|Musical and Performing Arts|Western,George Sidney,Sidney Sheldon,1950-01-01,107,7.1,1.0
1848,R,Action and Adventure|Art House and International|Drama|Mystery and Suspense|Science Fiction and Fantasy|Special Interest,Darren Aronofsky,Darren Aronofsky,1998-07-10,85,7.1,1.0
1849,NR,Art House and International|Comedy|Documentary|Television,Maud Linder,Maud Linder,,96,6.2,1.0
1850,PG-13,Drama,Michael Rhodes,John Wells,1996-09-08,112,4.5,0.0
1851,NR,Animation|Special Interest,John Hubley|Faith Hubley,unknown,,72,6.2,1.0
1852,NR,Art House and International|Drama,Alejandro Gamboa,Benjamin Cann,,100,6.2,1.0
1853,PG-13,Comedy,Sam Weisman,unknown,1994-06-01,106,4.3,0.0
1854,PG,Action and Adventure|Drama|Romance,Robert Florey,Carroll Young,,68,6.2,1.0
1855,G,Action and Adventure|Kids and Family|Science Fiction and Fantasy,unknown,Michael Ende|Karin Howard,1991-06-01,90,6.2,1.0
1857,R,Action and Adventure|Mystery and Suspense,David Twohy,David Twohy,2009-08-07,97,6.0,1.0
1858,G,Classics|Comedy|Musical and Performing Arts|Romance,Boris Sagal,unknown,,96,5.1,0.0
